4195A Spectrum Analyzer 2021/01/12 18:32:27,Commercial Radio FM Band,,
N,FREQUENCY [ Hz ],DBm,Phase
320,105950000.000000,-8.455530e+01,1.214120e+02
321,106000000.000000,-8.506470e+01,1.229840e+02
322,106050000.000000,-7.979570e+01,1.246250e+02
323,106100000.000000,-8.480900e+01,1.260850e+02
324,106150000.000000,-8.333450e+01,1.275580e+02
325,106200000.000000,-8.744140e+01,1.289410e+02
326,106250000.000000,-8.748670e+01,1.304460e+02
327,106300000.000000,-8.345940e+01,1.319610e+02
328,106350000.000000,-7.967150e+01,1.334930e+02
329,106400000.000000,-8.338550e+01,1.348890e+02
330,106450000.000000,-8.333280e+01,1.363620e+02
331,106500000.000000,-8.081590e+01,1.378740e+02
332,106550000.000000,-8.654210e+01,1.392630e+02
333,106600000.000000,-8.285890e+01,1.407460e+02
334,106650000.000000,-7.418110e+01,1.420960e+02
335,106700000.000000,-7.329280e+01,1.435750e+02
336,106750000.000000,-7.335480e+01,1.449430e+02
337,106800000.000000,-8.158150e+01,1.462380e+02
338,106850000.000000,-8.522690e+01,1.477110e+02
339,106900000.000000,-8.221780e+01,1.490690e+02
340,106950000.000000,-8.286360e+01,1.505520e+02
341,107000000.000000,-8.523430e+01,1.520180e+02
342,107050000.000000,-8.734460e+01,1.536760e+02
343,107100000.000000,-8.557710e+01,1.553420e+02
344,107150000.000000,-8.664490e+01,1.570730e+02
345,107200000.000000,-8.311420e+01,1.589700e+02
346,107250000.000000,-8.298170e+01,1.606480e+02
347,107300000.000000,-8.346140e+01,1.622910e+02
348,107350000.000000,-8.218810e+01,1.638890e+02
349,107400000.000000,-8.033940e+01,1.654210e+02
350,107450000.000000,-8.027940e+01,1.668640e+02
351,107500000.000000,-7.664490e+01,1.682740e+02
352,107550000.000000,-7.805480e+01,1.697120e+02
353,107600000.000000,-8.189390e+01,1.711820e+02
354,107650000.000000,-8.701170e+01,1.726600e+02
355,107700000.000000,-8.258740e+01,1.741720e+02
356,107750000.000000,-8.535880e+01,1.756240e+02
357,107800000.000000,-8.309160e+01,1.770230e+02
358,107850000.000000,-8.260870e+01,1.784340e+02
359,107900000.000000,-8.402340e+01,-1.798750e+02
360,107950000.000000,-8.237840e+01,-1.784880e+02
361,108000000.000000,-8.114130e+01,-1.769460e+02
362,108050000.000000,-8.847300e+01,-1.755070e+02
363,108100000.000000,-8.380460e+01,-1.739640e+02
364,108150000.000000,-8.158980e+01,-1.726250e+02
365,108200000.000000,-7.917570e+01,-1.711070e+02
366,108250000.000000,-8.133590e+01,-1.695760e+02
367,108300000.000000,-8.356040e+01,-1.680040e+02
368,108350000.000000,-8.443910e+01,-1.664940e+02
369,108400000.000000,-8.605280e+01,-1.649750e+02
370,108450000.000000,-8.018390e+01,-1.635470e+02
371,108500000.000000,-8.625600e+01,-1.620280e+02
372,108550000.000000,-8.477790e+01,-1.605700e+02
373,108600000.000000,-8.546090e+01,-1.590260e+02
374,108650000.000000,-8.413970e+01,-1.573580e+02
375,108700000.000000,-8.597680e+01,-1.559380e+02
376,108750000.000000,-7.969680e+01,-1.543980e+02
377,108800000.000000,-8.252740e+01,-1.528290e+02
378,108850000.000000,-8.488340e+01,-1.512180e+02
379,108900000.000000,-8.455000e+01,-1.497950e+02
380,108950000.000000,-9.087100e+01,-1.481790e+02
381,109000000.000000,-8.476240e+01,-1.465960e+02
382,109050000.000000,-8.333620e+01,-1.450440e+02
383,109100000.000000,-8.589720e+01,-1.434860e+02
384,109150000.000000,-8.502800e+01,-1.420010e+02
385,109200000.000000,-8.481040e+01,-1.403880e+02
386,109250000.000000,-8.373750e+01,-1.388640e+02
387,109300000.000000,-8.719170e+01,-1.373410e+02
388,109350000.000000,-8.194710e+01,-1.357950e+02
389,109400000.000000,-8.296520e+01,-1.341860e+02
390,109450000.000000,-8.922880e+01,-1.326150e+02
391,109500000.000000,-8.832910e+01,-1.311390e+02
392,109550000.000000,-7.982850e+01,-1.294110e+02
393,109600000.000000,-8.280670e+01,-1.279030e+02
394,109650000.000000,-7.999850e+01,-1.263320e+02
395,109700000.000000,-8.632270e+01,-1.247970e+02
396,109750000.000000,-8.155350e+01,-1.232170e+02
397,109800000.000000,-8.126680e+01,-1.215980e+02
398,109850000.000000,-8.568640e+01,-1.200380e+02
399,109900000.000000,-8.110910e+01,-1.185660e+02
400,109950000.000000,-8.788330e+01,-1.169680e+02
401,110000000.000000,-8.190070e+01,-1.154150e+02
